Consultorio,Enlace Consultorio,Centro de Salud,Enlace Centro de Salud
Consultorio de El Boalo,https://www.comunidad.madrid/centros/consultorio-boalo,Centro de Salud Manzanares el Real,https://www.comunidad.madrid/centros/centro-salud-manzanares-real
Consultorio de Braojos,https://www.comunidad.madrid/centros/consultorio-braojos,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Brea de Tajo,https://www.comunidad.madrid/centros/consultorio-brea-tajo,Centro de salud Villarejo de Salvanés,https://www.comunidad.madrid/centros/centro-salud-villarejo-salvanes
Consultorio de Brunete,https://www.comunidad.madrid/centros/consultorio-brunete,Centro de salud Villanueva de la Cañada,https://www.comunidad.madrid/centros/centro-salud-villanueva-canada
Consultorio de Bustarviejo,https://www.comunidad.madrid/centros/consultorio-bustarviejo,Centro de salud Soto del Real,https://www.comunidad.madrid/centros/centro-salud-soto-real
Consultorio de Cabanillas de la Sierra,https://www.comunidad.madrid/centros/consultorio-cabanillas,Centro de salud La Cabrera,https://www.comunidad.madrid/centros/centro-salud-cabrera
Consultorio de Camarma de Esteruelas,https://www.comunidad.madrid/centros/consultorio-camarma-esteruelas,Centro de Salud meco,No disponible
Consultorio de Canencia,https://www.comunidad.madrid/centros/consultorio-canencia,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Carabaña,https://www.comunidad.madrid/centros/consultorio-carabana,Centro de salud Perales de Tajuña,https://www.comunidad.madrid/centros/centro-salud-perales-tajuna
Consultorio de Casarrubuelos,https://www.comunidad.madrid/centros/consultorio-casarrubuelos,Centro de salud Griñón,https://www.comunidad.madrid/centros/centro-salud-grinon
Consultorio de Cenicientos,https://www.comunidad.madrid/centros/consultorio-cenicientos,Centro de Salud Cadalso de los Vidrios,https://www.comunidad.madrid/centros/centro-salud-cadalso-vidrios
Consultorio de Cervera de Buitrago,https://www.comunidad.madrid/centros/consultorio-cervera-buitrago,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Cobeña,https://www.comunidad.madrid/centros/consultorio-cobena,Centro de salud Algete,https://www.comunidad.madrid/centros/centro-salud-algete
Consultorio de Colmenar del Arroyo,https://www.comunidad.madrid/centros/consultorio-colmenar-arroyo,Centro de salud Navas del Rey,https://www.comunidad.madrid/centros/centro-salud-navas-rey
Consultorio de Colmenarejo,https://www.comunidad.madrid/centros/consultorio-colmenarejo,Centro de salud Galapagar,https://www.comunidad.madrid/centros/centro-salud-galapagar
Consultorio de Collado Mediano,https://www.comunidad.madrid/centros/consultorio-collado-mediano,Centro de Salud Guadarrama,https://www.comunidad.madrid/centros/centro-salud-guadarrama
Consultorio de Corpa,https://www.comunidad.madrid/centros/consultorio-corpa,Centro de salud Torres de la Alameda,https://www.comunidad.madrid/centros/centro-salud-torres-alameda
Consultorio de Coslada Estación,https://www.comunidad.madrid/centros/consultorio-coslada-estacion,Centro de salud Valleaguado,https://www.comunidad.madrid/centros/centro-salud-valleaguado
Consultorio de Chapinería,https://www.comunidad.madrid/centros/consultorio-chapinería,Centro de salud Navas del Rey,https://www.comunidad.madrid/centros/centro-salud-navas-rey
Consultorio de Chinchón,https://www.comunidad.madrid/centros/consultorio-chinchon,Centro de salud Colmenar Oreja,https://www.comunidad.madrid/centros/centro-salud-colmenar-oreja
Consultorio de Daganzo de Arriba,https://www.comunidad.madrid/centros/consultorio-daganzo,Centro de Salud paracuellos del jarama,No disponible
Consultorio de El Escorial,https://www.comunidad.madrid/centros/consultorio-escorial,Centro de Salud San Carlos,https://www.comunidad.madrid/centros/centro-salud-san-carlos
Consultorio de Los Arroyos,https://www.comunidad.madrid/centros/consultorio-arroyos,Centro de Salud San Carlos,https://www.comunidad.madrid/centros/centro-salud-san-carlos
Consultorio de Estremera,https://www.comunidad.madrid/centros/consultorio-estremera,Centro de Salud villarejo de salvanés,No disponible
Consultorio de Fresnedillas de la Oliva,https://www.comunidad.madrid/centros/consultorio-fresnedillas-oliva,Centro de salud de Robledo de Chavela,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Serracines,https://www.comunidad.madrid/centros/consultorio-serracines,Centro de salud Paracuellos de Jarama,https://www.comunidad.madrid/centros/centro-salud-paracuellos-jarama
Consultorio de Parque de Miraflores,https://www.comunidad.madrid/centros/consultorio-parque-miraflores,Centro de Salud Parque Loranca,https://www.comunidad.madrid/centros/centro-salud-parque-loranca
Consultorio de Fuente el Saz de Jarama,https://www.comunidad.madrid/centros/consultorio-fuente-saz-jarama,Centro de salud Algete,https://www.comunidad.madrid/centros/centro-salud-algete
Consultorio de Fuentidueña de Tajo,https://www.comunidad.madrid/centros/consultorio-fuentiduena-tajo,Centro de salud Villarejo de Salvanés,https://www.comunidad.madrid/centros/centro-salud-villarejo-salvanes
Consultorio de Garganta de los Montes,https://www.comunidad.madrid/centros/consultorio-garganta-montes,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de El Cuadrón,https://www.comunidad.madrid/centros/consultorio-cuadron,Centro de Salud buitrago de lozoya,No disponible
Consultorio de Gargantilla del Lozoya,https://www.comunidad.madrid/centros/consultorio-gargantilla-lozoya,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Pinilla de Buitrago,https://www.comunidad.madrid/centros/consultorio-pinilla-buitrago,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Gascones,https://www.comunidad.madrid/centros/consultorio-gascones,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Guadalix de la Sierra,https://www.comunidad.madrid/centros/consultorio-guadalix-sierra,Centro de salud Soto del Real,https://www.comunidad.madrid/centros/centro-salud-soto-real
Consultorio de La Hiruela,https://www.comunidad.madrid/centros/consultorio-hiruela,No encontrado,No encontrado
Consultorio de Aoslos,https://www.comunidad.madrid/centros/consultorio-aoslos,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Horcajo de la Sierra,https://www.comunidad.madrid/centros/consultorio-horcajo-sierra,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Horcajuelo de la Sierra,https://www.comunidad.madrid/centros/consultorio-horcajuelo-sierra,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Hoyo de Manzanares,https://www.comunidad.madrid/centros/consultorio-hoyo-manzanares,Centro de salud Torrelodones,https://www.comunidad.madrid/centros/centro-salud-monterrozas
Consultorio de Campohermoso,https://www.comunidad.madrid/centros/consultorio-campohermoso,Centro de salud Humanes de Madrid,https://www.comunidad.madrid/centros/centro-salud-humanes-madrid
Consultorio de Loeches,https://www.comunidad.madrid/centros/consultorio-loeches,Centro de salud Campo Real,https://www.comunidad.madrid/centros/centro-salud-campo-real
Consultorio de Lozoya del Valle,https://www.comunidad.madrid/centros/consultorio-lozoya,Centro de salud de Rascafría,https://www.comunidad.madrid/centros/centro-salud-rascafria
Consultorio de Madarcos,https://www.comunidad.madrid/centros/consultorio-madarcos,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-rascafria
Consultorio de Mingorrubio,https://www.comunidad.madrid/centros/consultorio-mingorrubio,Centro de salud El Pardo,https://www.comunidad.madrid/centros/centro-salud-pardo
Consultorio de Antonio Leyva,https://www.comunidad.madrid/centros/consultorio-antonio-leyva,Centro de salud Paseo Imperial,https://www.comunidad.madridhttp://comunidad.madrid/centros/centro-salud-paseo-imperial
Consultorio de Miraflores de la Sierra,https://www.comunidad.madrid/centros/consultorio-miraflores-sierra,No encontrado,No encontrado
Consultorio de Los Molinos,https://www.comunidad.madrid/centros/consultorio-molinos,Centro de salud Cercedilla,https://www.comunidad.madrid/centros/centro-salud-cercedilla
Consultorio de Montejo de la Sierra,https://www.comunidad.madrid/centros/consultorio-montejo-sierra,No encontrado,No encontrado
Consultorio de Moraleja de Enmedio,https://www.comunidad.madrid/centros/consultorio-moraleja-enmedio,Centro de salud Humanes de Madrid,https://www.comunidad.madrid/centros/centro-salud-humanes-madrid
Consultorio de Moralzarzal,https://www.comunidad.madrid/centros/consultorio-moralzarzal,Centro de Salud Collado Villalba Pueblo,https://www.comunidad.madrid/centros/centro-salud-collado-villalba-pueblo
Consultorio de Morata de Tajuña,https://www.comunidad.madrid/centros/consultorio-morata-tajuna,Centro de Salud Perales de Tajuña,https://www.comunidad.madrid/centros/centro-salud-perales-tajuna
Consultorio de Navacerrada,https://www.comunidad.madrid/centros/consultorio-navacerrada,Centro de salud Cercedilla,https://www.comunidad.madrid/centros/centro-salud-cercedilla
Consultorio de Navalafuente,https://www.comunidad.madrid/centros/consultorio-navalafuente,Centro de Salud soto del real.,No disponible
Consultorio de Navalagamella,https://www.comunidad.madrid/centros/consultorio-navalagamella,Centro de Salud Robledo de Chavela,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Navarredonda,https://www.comunidad.madrid/centros/consultorio-navarredonda,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de San Mamés,https://www.comunidad.madrid/centros/consultorio-san-mames,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Nuevo Baztán,https://www.comunidad.madrid/centros/consultorio-nuevo-baztan,Centro de salud Campo Real,https://www.comunidad.madrid/centros/centro-salud-campo-real
Consultorio de Olmeda de las Fuentes,https://www.comunidad.madrid/centros/consultorio-olmeda-fuentes,Centro de salud Campo Real,https://www.comunidad.madrid/centros/centro-salud-campo-real
Consultorio de Orusco de Tajuña,https://www.comunidad.madrid/centros/consultorio-orusco-tajuña,Centro de salud Perales de Tajuña,https://www.comunidad.madrid/centros/centro-salud-perales-tajuna
Consultorio de Belvis de Jarama,https://www.comunidad.madrid/centros/consultorio-belvis-jarama,Centro de salud Paracuellos de Jarama,https://www.comunidad.madrid/centros/centro-salud-paracuellos-jarama
Consultorio de Patones,https://www.comunidad.madrid/centros/consultorio-patones,Centro de salud de Torrelaguna,https://www.comunidad.madrid/centros/centro-salud-torrelaguna
Consultorio de Pedrezuela,https://www.comunidad.madrid/centros/consultorio-pedrezuela,Centro de salud El Molar,https://www.comunidad.madrid/centros/centro-salud-molar
Consultorio de Pelayos de la Presa,https://www.comunidad.madrid/centros/consultorio-pelayos-presa,Centro de salud San Martín de Valdeiglesias,https://www.comunidad.madrid/centros/centro-salud-san-martin-valdeiglesias
Consultorio de Pezuela de las Torres,https://www.comunidad.madrid/centros/consultorio-pezuela-torres,Centro de Salud Torres de la Alameda,https://www.comunidad.madrid/centros/centro-salud-torres-alameda
Consultorio de Pinilla del Valle,https://www.comunidad.madrid/centros/consultorio-pinilla-valle,Centro de salud de Rascafría,https://www.comunidad.madrid/centros/centro-salud-rascafria
Consultorio de Piñuecar,https://www.comunidad.madrid/centros/consultorio-pinuecar,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Gandullas,https://www.comunidad.madrid/centros/consultorio-gandullas,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Pozuelo del Rey,https://www.comunidad.madrid/centros/consultorio-pozuelo-rey,Centro de salud Campo Real,https://www.comunidad.madrid/centros/centro-salud-campo-real
Consultorio de Prádena del Rincón,https://www.comunidad.madrid/centros/consultorio-pradena-rincon,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Puebla de la Sierra,https://www.comunidad.madrid/centros/consultorio-puebla-sierra,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Quijorna,https://www.comunidad.madrid/centros/consultorio-quijorna,Centro de salud Villanueva de la Cañada,https://www.comunidad.madrid/centros/centro-salud-villanueva-canada
Consultorio de Oteruelo,https://www.comunidad.madrid/centros/consultorio-oteruelo,Centro de salud Rascafría,https://www.comunidad.madrid/centros/centro-salud-rascafria
Consultorio de Redueña,https://www.comunidad.madrid/centros/consultorio-reduena,Centro de salud El Molar,https://www.comunidad.madrid/centros/centro-salud-molar
Consultorio de Ribatejada,https://www.comunidad.madrid/centros/consultorio-ribatejada,Centro de salud Paracuellos del Jarama,https://www.comunidad.madrid/centros/centro-salud-paracuellos-jarama
Consultorio de Robledillo de la Jara,https://www.comunidad.madrid/centros/consultorio-robledillo-jara,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Robregordo,https://www.comunidad.madrid/centros/consultorio-robregordo,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de La Marazuela,https://www.comunidad.madrid/centros/consultorio-marazuela,Centro de salud Las Rozas-El Abajón,https://www.comunidad.madrid/centros/centro-salud-rozas-abajon
Consultorio de Las Matas,https://www.comunidad.madrid/centros/consultorio-matas,Centro de salud Monterrozas,https://www.comunidad.madrid/centros/centro-salud-monterrozas
Consultorio de Rozas de Puerto Real,https://www.comunidad.madrid/centros/consultorio-rozas-puerto-real,Centro de salud Cadalso de los Vidrios,https://www.comunidad.madrid/centros/centro-salud-cadalso-vidrios
Consultorio de San Agustín de Guadalix,https://www.comunidad.madrid/centros/consultorio-san-agustin-guadalix,Centro de salud El Molar,https://www.comunidad.madrid/centros/centro-salud-molar
Consultorio de Navalespino,https://www.comunidad.madrid/centros/consultorio-navalespino,Centro de Salud Robledo de Chavela,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Sta. María de la Alameda - Estación,https://www.comunidad.madrid/centros/consultorio-santa-maria-alameda-estacion,Centro de Salud Robledo de Chavela,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Robledondo,https://www.comunidad.madrid/centros/consultorio-robledondo,Centro de Salud Robledo de Chavela,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Sta. María de la Alameda - Pueblo,https://www.comunidad.madrid/centros/consultorio-santa-ma-alameda-pueblo,Centro de Salud Robledo de Chavela,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Santorcaz,https://www.comunidad.madrid/centros/consultorio-santorcaz,Centro de salud Torres de la Alameda,https://www.comunidad.madrid/centros/centro-salud-torres-alameda
Consultorio de Los Santos de la Humosa,https://www.comunidad.madrid/centros/consultorio-santos-humosa,Centro de Salud meco.,No disponible
Consultorio de La Serna del Monte,https://www.comunidad.madrid/centros/consultorio-serna-monte,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-rascafria
Consultorio de Serranillos del Valle,https://www.comunidad.madrid/centros/consultorio-serranillos-valle,Centro de salud Griñón,https://www.comunidad.madrid/centros/centro-salud-grinon
Consultorio de Sevilla la Nueva,https://www.comunidad.madrid/centros/consultorio-sevilla-nueva,Centro de salud Navalcarnero,https://www.comunidad.madrid/centros/centro-salud-navalcarnero
Consultorio de Somosierra,https://www.comunidad.madrid/centros/consultorio-somosierra,Centro de Salud buitrago de lozoya,No disponible
Consultorio de Talamanca de Jarama,https://www.comunidad.madrid/centros/consultorio-talamanca,Centro de salud Algete,https://www.comunidad.madrid/centros/centro-salud-algete
Consultorio de Tielmes,https://www.comunidad.madrid/centros/consultorio-tielmes,Centro de salud Perales de Tajuña,https://www.comunidad.madrid/centros/centro-salud-perales-tajuna
Consultorio de Titulcia,https://www.comunidad.madrid/centros/consultorio-titulcia,Centro de salud Ciempozuelos,https://www.comunidad.madrid/centros/centro-salud-ciempozuelos
Consultorio de Torrejón de la Calzada,https://www.comunidad.madrid/centros/consultorio-torrejon-calzada,Centro de salud Griñón,https://www.comunidad.madrid/centros/centro-salud-grinon
Consultorio de Torrejón de Velasco,https://www.comunidad.madrid/centros/consultorio-torrejon-velasco,Centro de salud Griñón,https://www.comunidad.madrid/centros/centro-salud-grinon
Consultorio de Torremocha de Jarama,https://www.comunidad.madrid/centros/consultorio-torremocha,Centro de salud Torrelaguna,https://www.comunidad.madrid/centros/centro-salud-torrelaguna
Consultorio de Valdaracete,https://www.comunidad.madrid/centros/consultorio-valdaracete,Centro de salud Villarejo de Salvanés,https://www.comunidad.madrid/centros/centro-salud-villarejo-salvanes
Consultorio de Valdeavero,https://www.comunidad.madrid/centros/consultorio-valdeavero,Centro de Salud meco,No disponible
Consultorio de Valdelaguna,https://www.comunidad.madrid/centros/consultorio-valdelaguna,Centro de Salud Colmenar de Oreja,https://www.comunidad.madrid/centros/centro-salud-colmenar-oreja
Consultorio de Valdemanco,https://www.comunidad.madrid/centros/consultorio-valdemanco,Centro de Salud La Cabrera,https://www.comunidad.madrid/centros/centro-salud-cabrera
Consultorio de Valdemaqueda,https://www.comunidad.madrid/centros/consultorio-valdemaqueda,Centro de salud Robledo de Chavela,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Valdemorillo,https://www.comunidad.madrid/centros/consultorio-valdemorillo,Centro de Salud SAN CARLOS >>,https://www.comunidad.madrid/centros/centro-salud-san-carlos
Consultorio de Alalpardo,https://www.comunidad.madrid/centros/consultorio-alalpardo,Centro de Salud Algete,https://www.comunidad.madrid/centros/centro-salud-algete
Consultorio de Valdeolmos,https://www.comunidad.madrid/centros/consultorio-valdeolmos,Centro de Salud Algete,https://www.comunidad.madrid/centros/centro-salud-algete
Consultorio de Valdepiélagos,https://www.comunidad.madrid/centros/consultorio-valdepielagos,Centro de salud Algete,https://www.comunidad.madrid/centros/centro-salud-algete
Consultorio de Valdetorres de Jarama,https://www.comunidad.madrid/centros/consultorio-valdetorres-jarama,Centro de salud Algete,https://www.comunidad.madrid/centros/centro-salud-algete
Consultorio de Valdilecha,https://www.comunidad.madrid/centros/consultorio-valdilecha,Centro de salud Perales de Tajuña,https://www.comunidad.madrid/centros/centro-salud-perales-tajuna
Consultorio de Valverde de Alcalá,https://www.comunidad.madrid/centros/consultorio-valverde-alcala,Centro de Salud Torres de la Alameda,https://www.comunidad.madrid/centros/centro-salud-torres-alameda
Consultorio de Velilla de San Antonio,https://www.comunidad.madrid/centros/consultorio-velilla-san-antonio,Centro de salud Mejorada del Campo,https://www.comunidad.madrid/centros/centro-salud-mejorada-campo
Consultorio de El Espartal,https://www.comunidad.madrid/centros/consultorio-espartal,No encontrado,No encontrado
Consultorio de El Vellón,https://www.comunidad.madrid/centros/consultorio-vellon,No encontrado,No encontrado
Consultorio de Cotos de Monterrey,https://www.comunidad.madrid/centros/consultorio-cotos-monterrey,Centro de salud El Molar,https://www.comunidad.madrid/centros/centro-salud-molar
Consultorio de Venturada,https://www.comunidad.madrid/centros/consultorio-venturada,Centro de salud El Molar,https://www.comunidad.madrid/centros/centro-salud-molar
Consultorio de Villaconejos,https://www.comunidad.madrid/centros/consultorio-villaconejos,Centro de Salud Colmenar de Oreja,https://www.comunidad.madrid/centros/centro-salud-colmenar-oreja
Consultorio de Los Hueros,https://www.comunidad.madrid/centros/consultorio-hueros,Centro de Salud Torres de la Alameda,https://www.comunidad.madrid/centros/centro-salud-torres-alameda
Consultorio de Villalbilla,https://www.comunidad.madrid/centros/consultorio-villalbilla,Centro de Salud Torres de la Alameda,https://www.comunidad.madrid/centros/centro-salud-torres-alameda
Consultorio de Zulema,https://www.comunidad.madrid/centros/consultorio-zulema,Centro de Salud Torres de la Alameda,https://www.comunidad.madrid/centros/centro-salud-torres-alameda
Consultorio de Villamanrique de Tajo,https://www.comunidad.madrid/centros/consultorio-villamanrique-tajo,Centro de salud Villarejo de Salvanés,https://www.comunidad.madrid/centros/centro-salud-villarejo-salvanes
Consultorio de Villamanta,https://www.comunidad.madrid/centros/consultorio-villamanta,Centro de salud Navalcarnero,https://www.comunidad.madrid/centros/centro-salud-navalcarnero
Consultorio de Villamantilla,https://www.comunidad.madrid/centros/consultorio-villamantilla,Centro de salud Navalcarnero,https://www.comunidad.madrid/centros/centro-salud-navalcarnero
Consultorio de Villafranca del Castillo,https://www.comunidad.madrid/centros/consultorio-villafranca-castillo,Centro de salud Villanueva de la Cañada,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Villanueva del Pardillo,https://www.comunidad.madrid/centros/consultorio-villanueva-pardillo,Centro de salud Villanueva de la Cañada,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Villanueva de Perales,https://www.comunidad.madrid/centros/consultorio-villanueva-perales,Centro de salud Navalcarnero,https://www.comunidad.madrid/centros/centro-salud-navalcarnero
Consultorio de Villar del Olmo,https://www.comunidad.madrid/centros/consultorio-villar-olmo,Centro de salud Campo Real,https://www.comunidad.madrid/centros/centro-salud-campo-real
Consultorio de Villavieja del Lozoya,https://www.comunidad.madrid/centros/consultorio-villavieja-lozoya,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Zarzalejo Estación,https://www.comunidad.madrid/centros/consultorio-zarzalejo-estacion,Centro de Salud Robledo de Chavela,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Zarzalejo Pueblo,https://www.comunidad.madrid/centros/consultorio-zarzalejo-pueblo,Centro de Salud Robledo de Chavela,https://www.comunidad.madrid/centros/centro-salud-robledo-chavela
Consultorio de Lozoyuela,http://www.comunidad.madrid/centros/consultorio-lozoyuela,Centro de Salud La Cabrera,https://www.comunidad.madrid/centros/centro-salud-cabrera
Consultorio de Sieteiglesias,https://www.comunidad.madrid/centros/consultorio-sieteiglesias,Consultorio del Centro de Salud La Cabrera,https://www.comunidad.madrid/centros/centro-salud-cabrera
Consultorio de Navas de Buitrago,https://www.comunidad.madrid/centros/consultorio-navas-buitrago,Centro de Salud La Cabrera,https://www.comunidad.madrid/centros/centro-salud-cabrera
Consultorio de Serrada de la Fuente,https://www.comunidad.madrid/centros/consultorio-serrada-fuente,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Cinco Villas,https://www.comunidad.madrid/centros/consultorio-cincovillas,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Paredes de Buitrago,https://www.comunidad.madrid/centros/consultorio-paredes-buitrago,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Manjirón,https://www.comunidad.madrid/centros/consultorio-manjiron,Centro de Salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Doctor Aguilar,https://www.comunidad.madrid/centros/consultorio-doctor-aguilar-cubas-sagra,Centro de salud Griñón,https://www.comunidad.madrid/centros/centro-salud-grinon
